id,first_name,last_name,full_name,height_feet,height_inches,actual_height_ft,position,weight_pounds,team.id,team.abbreviation,team.city,team.conference,team.division,team.full_name,team.name,mpg,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,blk,stl,pf,turnover,pts,TmMP,TmFGA,TmFTA,TmTOV,usage
383,Taurean,Prince,Taurean Prince,6,8,6.666666667,F,220,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,19.3,3.2,5.9,0.542,1.7,3.7,0.459,0.6,0.7,0.857,0.5,2.5,3,1.2,0.2,0.4,2.5,1,8.7,243.4,90,23.1,15.6,15.70487608
393,Austin,Rivers,Austin Rivers,6,4,6.333333333,G,200,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,2.9,0,0.4,0,0,0.1,0,0,0,0,0,0.2,0.2,0.1,0,0,0,0,0,243.4,90,23.1,15.6,5.800147506
405,D'Angelo,Russell,D'Angelo Russell,6,5,6.416666667,G,198,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,29.6,4.9,12.8,0.383,1.5,5.4,0.278,2.1,2.8,0.75,1.1,3.2,4.3,5.4,0.6,1.4,2,3,13.4,243.4,90,23.1,15.6,24.19641265
447,Karl-Anthony,Towns,Karl-Anthony Towns,7,0,7,C,248,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,35,7.9,16.2,0.488,2.3,6.3,0.365,3.9,4.4,0.886,2.1,6.5,8.6,5.5,0.6,0.6,3.8,3.2,22,243.4,90,23.1,15.6,25.63433192
3153,Anthony,Edwards,Anthony Edwards,6,4,6.33,G,225,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,36.2,8.2,17.5,0.468,2.7,7.3,0.364,2.8,4.3,0.656,0.5,5.3,5.8,3.9,0.3,1.1,3,2.9,21.9,243.4,90,23.1,15.6,25.89509501
3154,Jaden,McDaniels,Jaden McDaniels,6,9,6.75,F,185,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,29.9,4.3,8.1,0.537,0.9,2.7,0.341,1.5,2.1,0.742,1.6,2.1,3.7,1.2,1.3,1.2,3.8,1.5,11.1,243.4,90,23.1,15.6,14.80085132
3155,Jordan,McLaughlin,Jordan McLaughlin,5,11,5.92,G,185,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,15.8,1.5,3.5,0.413,0.2,1.7,0.136,0.5,0.5,1,0.3,1.5,1.8,3.8,0.1,0.8,0.5,0.6,3.6,243.4,90,23.1,15.6,11.49750759
3156,Jaylen,Nowell,Jaylen Nowell,6,4,6.33,G,201,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,17.4,4,9.9,0.403,1.1,3.9,0.293,1,1.3,0.789,0.5,2.1,2.7,2.1,0.1,0.5,1.4,0.9,10.1,243.4,90,23.1,15.6,27.48303227
3157,Naz,Reid,Naz Reid,6,9,6.75,C,264,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves,12,3.1,5.3,0.585,0.6,2,0.3,0.8,1.2,0.667,0.6,1.9,2.5,0.4,0.7,0.4,1.7,0.7,7.6,243.4,90,23.1,15.6,22.87578176
60,Tony,Bradley,Tony Bradley,6,10,6.833333333,C,248,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls,0.6,0,0.1,0,0,0.1,0,0,0,0,0.1,0.2,0.3,0,0,0,0,0,0,247.7,89.9,26,14.5,7.12764733
